mouseGene	humanGene
Erich2	ERICH2
Gad1	GAD1
Gorasp2	GORASP2
Tlk1	TLK1
Mettl8	METTL8
Dcaf17	DCAF17
Slc25a12	SLC25A12
Hat1	HAT1
Metap1d	METAP1D
Dlx1	DLX1
Dlx2	DLX2
Itga6	ITGA6
Pdk1	PDK1
Rapgef4	RAPGEF4
Map3k20	MAP3K20
Cdca7	CDCA7
Sp3	SP3
Ola1	OLA1
Sp9	SP9
Cir1	CIR1
Scrn3	SCRN3
Gpr155	GPR155
Wipf1	WIPF1
Chrna1	CHRNA1
Chn1	CHN1
Atf2	ATF2
Atp5g3	ATP5MC3
Lnpk	LNPK
Hoxd10	HOXD10
Hoxd9	HOXD9
Hoxd8	HOXD8
Mtx2	MTX2
Nfe2l2	NFE2L2
Agps	AGPS
Ttc30b	TTC30B
Ttc30a1	TTC30A
Pde11a	PDE11A
Rbm45	RBM45
Osbpl6	OSBPL6
Prkra	PRKRA
Pjvk	PJVK
Fkbp7	FKBP7
Plekha3	PLEKHA3
Ttn	TTN
Ccdc141	CCDC141
Sestd1	SESTD1
Cwc22	CWC22
Ube2e3	UBE2E3
Itga4	ITGA4
Cerkl	CERKL
Pde1a	PDE1A
Dnajc10	DNAJC10
Frzb	FRZB
Nckap1	NCKAP1
Dusp19	DUSP19
Nup35	NUP35
Itgav	ITGAV
Fam171b	FAM171B
Calcrl	CALCRL
Tfpi	TFPI
Ctnnd1	CTNND1
Selenoh	SELENOH
Tmx2	TMX2
Med19	MED19
Zdhhc5	ZDHHC5
Clp1	CLP1
Ypel4	YPEL4
Serping1	SERPING1
Ube2l6	UBE2L6
Timm10	TIMM10
Slc43a1	SLC43A1
Slc43a3	SLC43A3
Prg2	PRG2
Ssrp1	SSRP1
Tnks1bp1	TNKS1BP1
Aplnr	APLNR
Olfr1238	OR4A5
Olfr1258	OR4C46
Ptprj	PTPRJ
Nup160	NUP160
Fnbp4	FNBP4
Agbl2	AGBL2
Mtch2	MTCH2
C1qtnf4	C1QTNF4
Ndufs3	NDUFS3
Kbtbd4	KBTBD4
Rapsn	RAPSN
Psmc3	PSMC3
Slc39a13	SLC39A13
Spi1	SPI1
Mybpc3	MYBPC3
Madd	MADD
Nr1h3	NR1H3
Acp2	ACP2
Ddb2	DDB2
Pacsin3	PACSIN3
Arfgap2	ARFGAP2
1110051M20Rik	C11orf49
Lrp4	LRP4
Ckap5	CKAP5
Zfp408	ZNF408
Arhgap1	ARHGAP1
Atg13	ATG13
Harbi1	HARBI1
Ambra1	AMBRA1
Mdk	MDK
Dgkz	DGKZ
Creb3l1	CREB3L1
Phf21a	PHF21A
Large2	LARGE2
Pex16	PEX16
1700029I15Rik	C11orf94
Mapk8ip1	MAPK8IP1
Cry2	CRY2
Slc35c1	SLC35C1
Chst1	CHST1
Syt13	SYT13
Prdm11	PRDM11
Trp53i11	TP53I11
Tspan18	TSPAN18
Cd82	CD82
Ext2	EXT2
Accs	ACCS
Gm13889	C11orf96
Alkbh3	ALKBH3
Hsd17b12	HSD17B12
Ttc17	TTC17
Api5	API5
Traf6	TRAF6
Prr5l	PRR5L
Commd9	COMMD9
Ldlrad3	LDLRAD3
Trim44	TRIM44
Fjx1	FJX1
Pamr1	PAMR1
Slc1a2	SLC1A2
Cd44	CD44
Pdhx	PDHX
Apip	APIP
Ehf	EHF
Cat	CAT
Abtb2	ABTB2
Nat10	NAT10
Caprin1	CAPRIN1
Lmo2	LMO2
Fbxo3	FBXO3
Cd59b	CD59
Hipk3	HIPK3
Cstf3	CSTF3
Tcp11l1	TCP11L1
Depdc7	DEPDC7
Qser1	QSER1
Prrg4	PRRG4
Eif3m	EIF3M
Wt1	WT1
Rcn1	RCN1
Pax6	PAX6
Elp4	ELP4
Immp1l	IMMP1L
Dnajc24	DNAJC24
Mpped2	MPPED2
Arl14ep	ARL14EP
Kcna4	KCNA4
Mettl15	METTL15
Kif18a	KIF18A
Bdnf	BDNF
Lin7c	LIN7C
Lgr4	LGR4
Ccdc34	CCDC34
Fibin	FIBIN
Lpcat4	LPCAT4
Nop10	NOP10
Slc12a6	SLC12A6
Emc4	EMC4
Katnbl1	KATNBL1
Emc7	EMC7
Aven	AVEN
Ryr3	RYR3
Fmn1	FMN1
Grem1	GREM1
Scg5	SCG5
Arhgap11a	ARHGAP11A
Aqr	AQR
Zfp770	ZNF770
Dph6	DPH6
Meis2	MEIS2
Spred1	SPRED1
Fam98b	FAM98B
Rasgrp1	RASGRP1
Thbs1	THBS1
Gpr176	GPR176
Eif2ak4	EIF2AK4
Srp14	SRP14
Bmf	BMF
Bub1b	BUB1B
Pak6	PAK6
Plcb2	PLCB2
Knstrn	KNSTRN
Ivd	IVD
Bahd1	BAHD1
Chst14	CHST14
Ccdc32	CCDC32
Rpusd2	RPUSD2
Knl1	KNL1
Rad51	RAD51
Rmdn3	RMDN3
Gchfr	GCHFR
Dnajc17	DNAJC17
Gm14137	C15orf62
Zfyve19	ZFYVE19
Ppp1r14d	PPP1R14D
Spint1	SPINT1
Rhov	RHOV
Vps18	VPS18
Dll4	DLL4
Chac1	CHAC1
Ino80	INO80
Exd1	EXD1
Chp1	CHP1
Oip5	OIP5
Nusap1	NUSAP1
Ndufaf1	NDUFAF1
Rtf1	RTF1
Itpka	ITPKA
Ltk	LTK
Rpap1	RPAP1
Tyro3	TYRO3
Mga	MGA
Mapkbp1	MAPKBP1
Jmjd7	JMJD7
Ehd4	EHD4
Pla2g4f	PLA2G4F
Vps39	VPS39
Tmem87a	TMEM87A
Ganc	GANC
Capn3	CAPN3
Zfp106	ZNF106
Snap23	SNAP23
Lrrc57	LRRC57
Haus2	HAUS2
Stard9	STARD9
Cdan1	CDAN1
Ttbk2	TTBK2
Ubr1	UBR1
Tmem62	TMEM62
Ccndbp1	CCNDBP1
Lcmt2	LCMT2
Adal	ADAL
Zscan29	ZSCAN29
Tubgcp4	TUBGCP4
Trp53bp1	TP53BP1
Map1a	MAP1A
Ppip5k1	PPIP5K1
Catsper2	CATSPER2
Pdia3	PDIA3
Ell3	ELL3
Serinc4	SERINC4
Serf2	SERF2
Hypk	HYPK
Mfap1b	MFAP1
Mfap1a	MFAP1
Wdr76	WDR76
Frmd5	FRMD5
Ctdspl2	CTDSPL2
Eif3j1	EIF3J
Spg11	SPG11
B2m	B2M
Trim69	TRIM69
Sord	SORD
Duoxa1	DUOXA1
Duox1	DUOX1
Shf	SHF
Slc28a2	SLC28A2
Gatm	GATM
AA467197	C15orf48
Slc30a4	SLC30A4
Bloc1s6	BLOC1S6
Sqor	SQOR
Sema6d	SEMA6D
Slc24a5	SLC24A5
Myef2	MYEF2
Slc12a1	SLC12A1
Dut	DUT
Fbn1	FBN1
Cep152	CEP152
Shc4	SHC4
Eid1	EID1
Secisbp2l	SECISBP2L
Galk2	GALK2
Fgf7	FGF7
Dtwd1	DTWD1
Atp8b4	ATP8B4
Hdc	HDC
Gabpb1	GABPB1
Usp8	USP8
Usp50	USP50
Trpm7	TRPM7
Sppl2a	SPPL2A
Ap4e1	AP4E1
Blvra	BLVRA
Ncaph	NCAPH
Itpripl1	ITPRIPL1
Snrnp200	SNRNP200
Ciao1	CIAO1
Tmem127	TMEM127
Stard7	STARD7
Dusp2	DUSP2
Astl	ASTL
Adra2b	ADRA2B
Gpat2	GPAT2
Fahd2a	FAHD2B
Kcnip3	KCNIP3
Prom2	PROM2
Zfp661	ZNF2
Mrps5	MRPS5
Mal	MAL
Mall	MALL
Nphp1	NPHP1
Bub1	BUB1
Acoxl	ACOXL
Bcl2l11	BCL2L11
Anapc1	ANAPC1
Mertk	MERTK
Tmem87b	TMEM87B
Fbln7	FBLN7
Zc3h8	ZC3H8
Zc3h6	ZC3H6
Ttl	TTL
Polr1b	POLR1B
Chchd5	CHCHD5
Slc20a1	SLC20A1
Ckap2l	CKAP2L
Il1a	IL1A
Il1b	IL1B
Sirpa	SIRPA
Stk35	STK35
Tgm3	TGM3
Snrpb	SNRPB
Nop56	NOP56
Idh3b	IDH3B
Ebf4	EBF4
Cpxm1	CPXM1
1700020A23Rik	C20orf141
Pced1a	PCED1A
Vps16	VPS16
Ptpra	PTPRA
Mrps26	MRPS26
Oxt	OXT
Ubox5	UBOX5
Fastkd5	FASTKD5
Lzts3	LZTS3
Ddrgk1	DDRGK1
Itpa	ITPA
Slc4a11	SLC4A11
4930402H24Rik	DNAAF9
Atrn	ATRN
Gfra4	GFRA4
Adam33	ADAM33
Siglec1	SIGLEC1
Hspa12b	HSPA12B
1700037H04Rik	C20orf27
Spef1	SPEF1
Cenpb	CENPB
Cdc25b	CDC25B
Ap5s1	AP5S1
Mavs	MAVS
Pank2	PANK2
Rnf24	RNF24
Smox	SMOX
Prnp	PRNP
Rassf2	RASSF2
Slc23a2	SLC23A2
Tmem230	TMEM230
Pcna	PCNA
Cds2	CDS2
Prokr2	PROKR2
Gpcpd1	GPCPD1
Trmt6	TRMT6
Mcm8	MCM8
Crls1	CRLS1
Fermt1	FERMT1
Bmp2	BMP2
Hao1	HAO1
Tmx4	TMX4
Plcb1	PLCB1
Plcb4	PLCB4
Mkks	MKKS
Slx4ip	SLX4IP
Jag1	JAG1
Btbd3	BTBD3
Ism1	ISM1
Tasp1	TASP1
Esf1	ESF1
Ndufaf5	NDUFAF5
Macrod2	MACROD2
Flrt3	FLRT3
Kif16b	KIF16B
Snrpb2	SNRPB2
Bfsp1	BFSP1
Dstn	DSTN
Snx5	SNX5
Mgme1	MGME1
Ovol2	OVOL2
Kat14	KAT14
Dzank1	DZANK1
Polr3f	POLR3F
Rbbp9	RBBP9
Sec23b	SEC23B
Dtd1	DTD1
Slc24a3	SLC24A3
Rin2	RIN2
Naa20	NAA20
Crnkl1	CRNKL1
Ralgapa2	RALGAPA2
Kiz	KIZ
Xrn2	XRN2
Thbd	THBD
Cd93	CD93
Nxt1	NXT1
Gzf1	GZF1
Napb	NAPB
Cst3	CST3
Cst7	CST7
Apmap	APMAP
Acss1	ACSS1
Entpd6	ENTPD6
Pygb	PYGB
Abhd12	ABHD12
Gins1	GINS1
Ninl	NINL
Nsfl1c	NSFL1C
Fkbp1a	FKBP1A
Sdcbp2	SDCBP2
Snph	SNPH
Tmem74b	TMEM74B
Psmf1	PSMF1
Angpt4	ANGPT4
Fam110a	FAM110A
Slc52a3	SLC52A3
Srxn1	SRXN1
Tcf15	TCF15
Csnk2a1	CSNK2A1
Tbc1d20	TBC1D20
Rbck1	RBCK1
Trib3	TRIB3
Sox12	SOX12
Zcchc3	ZCCHC3
Rem1	REM1
H13	HM13
Id1	ID1
Cox4i2	COX4I2
Bcl2l1	BCL2L1
Tpx2	TPX2
Foxs1	FOXS1
Pdrg1	PDRG1
Ccm2l	CCM2L
Hck	HCK
Tm9sf4	TM9SF4
Plagl2	PLAGL2
Pofut1	POFUT1
Kif3b	KIF3B
Asxl1	ASXL1
Nol4l	NOL4L
Commd7	COMMD7
Dnmt3b	DNMT3B
Mapre1	MAPRE1
Bpifb1	BPIFB1
Cdk5rap1	CDK5RAP1
Snta1	SNTA1
Cbfa2t2	CBFA2T2
Necab3	NECAB3
E2f1	E2F1
Pxmp4	PXMP4
Zfp341	ZNF341
Chmp4b	CHMP4B
Raly	RALY
a	ASIP
Eif2s2	EIF2S2
Ahcy	AHCY
Itch	ITCH
Dynlrb1	DYNLRB1
Map1lc3a	MAP1LC3A
Pigu	PIGU
Trp53inp2	TP53INP2
Ggt7	GGT7
Acss2	ACSS2
Gss	GSS
Myh7b	MYH7B
Trpc4ap	TRPC4AP
Edem2	EDEM2
Procr	PROCR
Eif6	EIF6
Uqcc1	UQCC1
Cep250	CEP250
6430550D23Rik	C20orf173
Ergic3	ERGIC3
Spag4	SPAG4
Rbm12	RBM12
Nfs1	NFS1
Romo1	ROMO1
Rbm39	RBM39
Phf20	PHF20
Scand1	SCAND1
Cnbd2	CNBD2
Epb41l1	EPB41L1
Aar2	AAR2
Dlgap4	DLGAP4
Myl9	MYL9
Tgif2	TGIF2
Sla2	SLA2
Ndrg3	NDRG3
Dsn1	DSN1
Soga1	SOGA1
Samhd1	SAMHD1
Rbl1	RBL1
Rpn2	RPN2
Manbal	MANBAL
Src	SRC
Blcap	BLCAP
Ctnnbl1	CTNNBL1
Tti1	TTI1
Rprd1b	RPRD1B
Tgm2	TGM2
D630003M21Rik	KIAA1755
Lbp	LBP
Ralgapb	RALGAPB
Slc32a1	SLC32A1
Actr5	ACTR5
Ppp1r16b	PPP1R16B
Fam83d	FAM83D
Dhx35	DHX35
Mafb	MAFB
Top1	TOP1
Plcg1	PLCG1
Zhx3	ZHX3
Lpin3	LPIN3
Chd6	CHD6
Srsf6	SRSF6
L3mbtl1	L3MBTL1
Sgk2	SGK2
Ift52	IFT52
Mybl2	MYBL2
Tox2	TOX2
Jph2	JPH2
Oser1	OSER1
Gdap1l1	GDAP1L1
Fitm2	FITM2
R3hdml	R3HDML
Ttpal	TTPAL
Serinc3	SERINC3
Pkig	PKIG
Ada	ADA
Ywhab	YWHAB
Pabpc1l	PABPC1L
Tomm34	TOMM34
Stk4	STK4
Slpi	SLPI
Matn4	MATN4
Rbpjl	RBPJL
Sdc4	SDC4
Sys1	SYS1
Dbndd2	DBNDD2
Pigt	PIGT
Wfdc2	WFDC2
Dnttip1	DNTTIP1
Ube2c	UBE2C
Tnnc2	TNNC2
Snx21	SNX21
Acot8	ACOT8
Zswim3	ZSWIM3
Zswim1	ZSWIM1
Neurl2	NEURL2
Ctsa	CTSA
Pltp	PLTP
Pcif1	PCIF1
Zfp335	ZNF335
Mmp9	MMP9
Slc12a5	SLC12A5
Ncoa5	NCOA5
Cd40	CD40
Cdh22	CDH22
Slc35c2	SLC35C2
Elmo2	ELMO2
Zfp334	ZNF334
Ocstamp	OCSTAMP
Slc13a3	SLC13A3
Trp53rka	TP53RK
Slc2a10	SLC2A10
Eya2	EYA2
Zmynd8	ZMYND8
Ncoa3	NCOA3
Sulf2	SULF2
Prex1	PREX1
Trp53rkb	TP53RK
Arfgef2	ARFGEF2
Cse1l	CSE1L
Stau1	STAU1
Ddx27	DDX27
Znfx1	ZNFX1
Kcnb1	KCNB1
Ptgis	PTGIS
B4galt5	B4GALT5
Slc9a8	SLC9A8
Spata2	SPATA2
Rnf114	RNF114
Snai1	SNAI1
Ube2v1	UBE2V1
Tmem189	PEDS1
Cebpb	CEBPB
Ptpn1	PTPN1
Ripor3	RIPOR3
Pard6b	PARD6B
Adnp	ADNP
Dpm1	DPM1
Mocs3	MOCS3
Nfatc2	NFATC2
Atp9a	ATP9A
Zfp64	ZFP64
Tshz2	TSHZ2
Zfp217	ZNF217
Bcas1	BCAS1
Cyp24a1	CYP24A1
Pfdn4	PFDN4
Fam210b	FAM210B
Aurka	AURKA
Cstf1	CSTF1
Cass4	CASS4
Rtf2	RTF2
Fam209	FAM209B
Tfap2c	TFAP2C
Bmp7	BMP7
Spo11	SPO11
Rae1	RAE1
Rbm38	RBM38
Zbp1	ZBP1
Pmepa1	PMEPA1
Rab22a	RAB22A
Vapb	VAPB
Stx16	STX16
Npepl1	NPEPL1
Gnas	GNAS
Nelfcd	NELFCD
Ctsz	CTSZ
Prelid3b	PRELID3B
Zfp831	ZNF831
Gm14391	ZNF442
Gm4724	ZNF442
Gm6710	ZNF442
Gm14305	ZNF442
Gm14296	ZNF559-ZNF177
Gm14325	ZNF442
Gm14326	ZNF442
Zfp971	ZNF442
Zfp931	ZNF559-ZNF177
Phactr3	PHACTR3
Sycp2	SYCP2
Ppp1r3d	PPP1R3D
Fam217b	FAM217B
Taf4	TAF4
Lsm14b	LSM14B
Psma7	PSMA7
Ss18l1	SS18L1
Mtg2	MTG2
Osbpl2	OSBPL2
Adrm1	ADRM1
Lama5	LAMA5
Rps21	RPS21
Cables2	CABLES2
Slco4a1	SLCO4A1
Mrgbp	MRGBP
Ogfr	OGFR
Col9a3	COL9A3
Tcfl5	TCFL5
Dido1	DIDO1
Gid8	GID8
Slc17a9	SLC17A9
Ythdf1	YTHDF1
Arfgap1	ARFGAP1
Col20a1	COL20A1
Ppdpf	PPDPF
Ptk6	PTK6
Fndc11	FNDC11
Helz2	HELZ2
Gmeb2	GMEB2
Rtel1	RTEL1
Arfrp1	ARFRP1
Zgpat	ZGPAT
Lime1	LIME1
Zbtb46	ZBTB46
Tpd52l2	TPD52L2
Dnajc5	DNAJC5
Uckl1	UCKL1
Zfp512b	ZNF512B
Prpf6	PRPF6
Samd10	SAMD10
Sox18	SOX18
Tcea2	TCEA2
Rgs19	RGS19
Pcmtd2	PCMTD2
Polr3k	POLR3K
Shroom4	SHROOM4
Clcn5	CLCN5
Usp27x	USP27X
Ppp1r3f	PPP1R3F
Foxp3	FOXP3
Ccdc22	CCDC22
Cacna1f	CACNA1F
Syp	SYP
Prickle3	PRICKLE3
Plp2	PLP2
Magix	MAGIX
Gpkow	GPKOW
Wdr45	WDR45
Praf2	PRAF2
Ccdc120	CCDC120
Tfe3	TFE3
Gripap1	GRIPAP1
Kcnd1	KCND1
Pim2	PIM2
Pqbp1	PQBP1
Timm17b	TIMM17B
Hdac6	HDAC6
Gata1	GATA1
Suv39h1	SUV39H1
Was	WAS
Wdr13	WDR13
Rbm3	RBM3
Tbc1d25	TBC1D25
Ebp	EBP
Porcn	PORCN
Ftsj1	FTSJ1
Lancl3	LANCL3
Xk	XK
H2al1m	LOC101928761
Cybb	CYBB
Dynlt3	DYNLT3
Srpx	SRPX
Rpgr	RPGR
Tspan7	TSPAN7
Mid1ip1	MID1IP1
Bcor	BCOR
Atp6ap2	ATP6AP2
1810030O07Rik	CXorf38
Med14	MED14
Usp9x	USP9X
Ddx3x	DDX3X
Cask	CASK
Gpr34	GPR34
Gpr82	GPR82
Maoa	MAOA
Maob	MAOB
Fundc1	FUNDC1
Kdm6a	KDM6A
Chst7	CHST7
Slc9a7	SLC9A7
Rp2	RP2
Jade3	JADE3
Ndufb11	NDUFB11
Rbm10	RBM10
Uba1	UBA1
Cdk16	CDK16
Usp11	USP11
Araf	ARAF
Syn1	SYN1
Timp1	TIMP1
Cfp	CFP
Elk1	ELK1
Uxt	UXT
Zfp182	ZNF182
Zfp300	ZNF567
Klhl13	KLHL13
Wdr44	WDR44
Dock11	DOCK11
Il13ra1	IL13RA1
Zcchc12	ZCCHC12
Lonrf3	LONRF3
Pgrmc1	PGRMC1
Slc25a43	SLC25A43
Slc25a5	SLC25A5
C330007P06Rik	STEEP1
Ube2a	UBE2A
Nkrf	NKRF
Rpl39	RPL39
Upf3b	UPF3B
Nkap	NKAP
Ndufa1	NDUFA1
Zbtb33	ZBTB33
Tmem255a	TMEM255A
Lamp2	LAMP2
Cul4b	CUL4B
Mcts1	MCTS1
C1galt1c1	C1GALT1C1
Gria3	GRIA3
Thoc2	THOC2
Xiap	XIAP
Stag2	STAG2
Sh2d1a	SH2D1A
Smarca1	SMARCA1
Ocrl	OCRL
Apln	APLN
Xpnpep2	XPNPEP2
Sash3	SASH3
Zdhhc9	ZDHHC9
Utp14a	UTP14A
Bcorl1	BCORL1
Elf4	ELF4
Aifm1	AIFM1
Rab33a	RAB33A
Zfp280c	ZNF280C
Slc25a14	SLC25A14
Rbmx2	RBMX2
Enox2	ENOX2
Stk26	STK26
Rap2c	RAP2C
Mbnl3	MBNL3
Hs6st2	HS6ST2
Gpc4	GPC4
Gpc3	GPC3
Phf6	PHF6
Hprt	HPRT1
Plac1	PLAC1
Fam122b	PABIR2
Mospd1	MOSPD1
Rtl8a	RTL8B
Rtl8b	RTL8B
Zfp449	ZNF449
Ints6l	INTS6L
Mmgt1	MMGT1
Slc9a6	SLC9A6
Fhl1	FHL1
Map7d3	MAP7D3
Htatsf1	HTATSF1
Cd40lg	CD40LG
Arhgef6	ARHGEF6
Rbmx	RBMX
Fgf13	FGF13
F9	F9
Atp11c	ATP11C
Fmr1	FMR1
Ids	IDS
Tmem185a	TMEM185A
Mtm1	MTM1
Mtmr1	MTMR1
Cd99l2	CD99L2
Prrg3	PRRG3
Cetn2	CETN2
Nsdhl	NSDHL
Zfp275	ZNF275
Haus7	HAUS7
Bgn	BGN
Dusp9	DUSP9
Pnck	PNCK
Slc6a8	SLC6A8
Bcap31	BCAP31
Abcd1	ABCD1
Plxnb3	PLXNB3
Srpk3	SRPK3
Idh3g	IDH3G
Ssr4	SSR4
Pdzd4	PDZD4
L1cam	L1CAM
Arhgap4	ARHGAP4
Naa10	NAA10
Renbp	RENBP
Hcfc1	HCFC1
Irak1	IRAK1
Mecp2	MECP2
Tktl1	TKTL1
Flna	FLNA
Emd	EMD
Rpl10	RPL10
Dnase1l1	DNASE1L1
Taz	TAZ
Atp6ap1	ATP6AP1
Gdi1	GDI1
Fam50a	FAM50A
Plxna3	PLXNA3
Ubl4a	UBL4A
Slc10a3	SLC10A3
Fam3a	FAM3A
Ikbkg	IKBKG
G6pdx	G6PD
Gab3	GAB3
Dkc1	DKC1
Mpp1	MPP1
F8	F8
Fundc2	FUNDC2
Mtcp1	CMC4
Brcc3	BRCC3
Vbp1	VBP1
Rab39b	RAB39B
Pls3	PLS3
Tbl1x	TBL1X
Prkx	PRKX
Prrg1	PRRG1
Tmem47	TMEM47
Dmd	DMD
Tab3	TAB3
Pola1	POLA1
Pcyt1b	PCYT1B
Pdk3	PDK3
Zfx	ZFX
Eif2s3x	EIF2S3
Klhl15	KLHL15
Apoo	APOO
Maged1	MAGED1
Gspt2	GSPT2
Zxdb	ZXDB
Spin4	SPIN4
Arhgef9	ARHGEF9
Amer1	AMER1
Zc4h2	ZC4H2
Zc3h12b	ZC3H12B
Las1l	LAS1L
Msn	MSN
Vsig4	VSIG4
Ar	AR
Ophn1	OPHN1
Yipf6	YIPF6
Stard8	STARD8
Efnb1	EFNB1
Pja1	PJA1
Eda	EDA
Awat2	AWAT2
Igbp1	IGBP1
Pdzd11	PDZD11
Kif4	KIF4A
Gdpd2	GDPD2
Dlg3	DLG3
Slc7a3	SLC7A3
Snx12	SNX12
Foxo4	FOXO4
Gm614	CXorf65
Il2rg	IL2RG
Med12	MED12
Nlgn3	NLGN3
Zmym3	ZMYM3
Nono	NONO
Itgb1bp2	ITGB1BP2
Taf1	TAF1
Ogt	OGT
Cxcr3	CXCR3
Nhsl2	NHSL2
Rtl5	RTL5
Pin4	PIN4
Ercc6l	ERCC6L
Rps4x	RPS4Y1
Cited1	CITED1
Hdac8	HDAC8
Phka1	PHKA1
Nap1l2	NAP1L2
Chic1	CHIC1
Slc16a2	SLC16A2
Rlim	RLIM
Abcb7	ABCB7
Uprt	UPRT
Zdhhc15	ZDHHC15
Pbdc1	PBDC1
Magee1	MAGEE1
Atrx	ATRX
Magt1	MAGT1
Cox7b	COX7B
Atp7a	ATP7A
Pgk1	PGK1
Taf9b	TAF9B
Cysltr1	CYSLTR1
Lpar4	LPAR4
P2ry10	P2RY10
Gpr174	GPR174
Itm2a	ITM2A
Brwd3	BRWD3
Sh3bgrl	SH3BGRL
Rps6ka6	RPS6KA6
Apool	APOOL
Chm	CHM
Klhl4	KLHL4
Nap1l3	NAP1L3
Pcdh19	PCDH19
Tspan6	TSPAN6
Srpx2	SRPX2
Sytl4	SYTL4
Cstf2	CSTF2
Nox1	NOX1
Xkrx	XKRX
Trmt2b	TRMT2B
Cenpi	CENPI
Timm8a1	TIMM8A
Btk	BTK
Gla	GLA
Hnrnph2	HNRNPH2
Armcx4	ARMCX4
Armcx1	ARMCX1
Armcx6	ARMCX6
Armcx3	ARMCX3
Armcx2	ARMCX2
Zmat1	ZMAT1
Gprasp1	GPRASP1
Armcx5	ARMCX5
Bhlhb9	BHLHB9
Bex2	BEX1
Bex4	BEX4
Tceal8	TCEAL8
Tceal9	TCEAL9
Bex3	BEX3
Tceal3	TCEAL6
Tceal1	TCEAL1
Morf4l2	MORF4L2
Plp1	PLP1
Slc25a53	SLC25A53
Zcchc18	ZCCHC18
Fam199x	FAM199X
Rnf128	RNF128
Tbc1d8b	TBC1D8B
Cldn2	CLDN2
Morc4	MORC4
Rbm41	RBM41
Prps1	PRPS1
Tsc22d3	TSC22D3
Mid2	MID2
Psmd10	PSMD10
Atg4a	ATG4A
Col4a6	COL4A6
Col4a5	COL4A5
Nxt2	NXT2
Acsl4	ACSL4
Tmem164	TMEM164
Ammecr1	AMMECR1
Chrdl1	CHRDL1
Pak3	PAK3
Capn6	CAPN6
Amot	AMOT
Il13ra2	IL13RA2
Lrch2	LRCH2
Apex2	APEX2
Alas2	ALAS2
Pfkfb1	PFKFB1
Maged2	MAGED2
Gnl3l	GNL3L
Fgd1	FGD1
Tsr2	TSR2
Fam120c	FAM120C
Phf8	PHF8
Huwe1	HUWE1
Hsd17b10	HSD17B10
Ribc1	RIBC1
Smc1a	SMC1A
Iqsec2	IQSEC2
Kdm5c	KDM5C
Tspyl2	TSPYL2
Gpr173	GPR173
Shroom2	SHROOM2
Mageh1	MAGEH1
Rragb	RRAGB
Klf8	KLF8
Ubqln2	UBQLN2
Sat1	SAT1
Acot9	ACOT9
Prdx4	PRDX4
Phex	PHEX
Sms	SMS
Mbtps2	MBTPS2
Rps6ka3	RPS6KA3
Eif1ax	EIF1AY
Bclaf3	BCLAF3
Sh3kbp1	SH3KBP1
Map3k15	MAP3K15
Pdha1	PDHA1
Adgrg2	ADGRG2
Phka2	PHKA2
Cdkl5	CDKL5
Rai2	RAI2
Nhs	NHS
Reps2	REPS2
Rbbp7	RBBP7
Txlng	TXLNG
Syap1	SYAP1
Ctps2	CTPS2
Ap1s2	AP1S2
Zrsr2	ZRSR2
Car5b	CA5B
Bmx	BMX
Pir	PIR
Vegfd	VEGFD
Piga	PIGA
Asb11	ASB11
Mospd2	MOSPD2
Fancb	FANCB
Gemin8	GEMIN8
Gpm6b	GPM6B
Ofd1	OFD1
Trappc2	TRAPPC2
Rab9	RAB9A
Tceanc	TCEANC
Tlr8	TLR8
Tlr7	TLR7
Prps2	PRPS2
Msl3	MSL3
Arhgap6	ARHGAP6
Hccs	HCCS
Mid1	MID1
Zfhx4	ZFHX4
Pex2	PEX2
Pkia	PKIA
Zc2hc1a	ZC2HC1A
Il7	IL7
Stmn2	STMN2
Hey1	HEY1
Mrps28	MRPS28
Tpd52	TPD52
Zbtb10	ZBTB10
Zfp704	ZNF704
Pag1	PAG1
Fabp5	FABP5
Fabp4	FABP4
Fabp12	FABP12
Impa1	IMPA1
Zfand1	ZFAND1
Chmp4c	CHMP4C
Snx16	SNX16
Lrrcc1	LRRCC1
E2f5	E2F5
Car13	CA13
Car2	CA2
Ythdf3	YTHDF3
Cyp7b1	CYP7B1
Armc1	ARMC1
Mtfr1	MTFR1
Pde7a	PDE7A
Cp	CP
Hps3	HPS3
Hltf	HLTF
Gyg	GYG1
Cpa3	CPA3
Cpb1	CPB1
Tbl1xr1	TBL1XR1
Naaladl2	NAALADL2
Ect2	ECT2
Nceh1	NCEH1
Tnfsf10	TNFSF10
Fndc3b	FNDC3B
Tmem212	TMEM212
Pld1	PLD1
Tnik	TNIK
Eif5a2	EIF5A2
Mecom	MECOM
Actrt3	ACTRT3
Mynn	MYNN
Sec62	SEC62
Gpr160	GPR160
Phc3	PHC3
Prkci	PRKCI
Skil	SKIL
Cldn11	CLDN11
Slc7a14	SLC7A14
Zmat3	ZMAT3
Pik3ca	PIK3CA
Zfp639	ZNF639
Mfn1	MFN1
Gnb4	GNB4
Actl6a	ACTL6A
Mrpl47	MRPL47
Ndufb5	NDUFB5
Usp13	USP13
Ttc14	TTC14
Ccdc39	CCDC39
Fxr1	FXR1
Dnajc19	DNAJC19
Atp11b	ATP11B
Dcun1d1	DCUN1D1
Mccc1	MCCC1
Acad9	ACAD9
Anxa5	ANXA5
Exosc9	EXOSC9
Ccna2	CCNA2
Bbs7	BBS7
4932438A13Rik	KIAA1109
Il2	IL2
